Overall Rating,Type Of Traveller,Seat Type,Arrival City,A Country UV,UVA Coordinates,Departure City,D Country UV,UVD Coordinates,Date Flown
5,Business,Economy  ,,,,,,,8/1/2017
7,Couple Leisure,Economy  ,,,,,,,8/1/2017
8,Business,Business  ,,,,,,,8/1/2017
2,Family Leisure,Economy  ,,,,,,,8/1/2017
9,Solo Leisure,Economy  ,,,,,,,8/1/2017
1,Couple Leisure,Economy  ,,,,,,,7/1/2017
3,Couple Leisure,Economy  ,,,,,,,8/1/2017
1,Couple Leisure,Economy  ,,,,,,,8/1/2017
7,Family Leisure,Economy  ,,,,,,,8/1/2017
3,Business,Economy  ,,,,,,,8/1/2017
3,Business,First  ,,,,,,,8/1/2017
2,Business,Business  ,,,,,,,8/1/2017
10,Family Leisure,Economy  ,,,,,,,8/1/2017
2,Solo Leisure,Economy  ,,,,,,,8/1/2017
1,Couple Leisure,Economy  ,,,,,,,8/1/2017
2,Couple Leisure,Business  ,,,,,,,8/1/2017
5,Family Leisure,Business  ,,,,,,,8/1/2017
2,Couple Leisure,Economy  ,,,,,,,8/1/2017
2,Business,Business  ,,,,,,,8/1/2017
1,Family Leisure,Business  ,,,,,,,7/1/2017
9,Solo Leisure,Premium Economy,,,,,,,8/1/2017
3,Solo Leisure,Business  ,,,,,,,8/1/2017
3,Business,Economy  ,,,,,,,8/1/2017
3,Family Leisure,Business  ,,,,,,,8/1/2017
2,Solo Leisure,Economy  ,,,,,,,8/1/2017
3,Family Leisure,Economy  ,,,,,,,8/1/2017
1,Business,Economy  ,,,,,,,8/1/2017
2,Business,Premium Economy,,,,,,,8/1/2017
10,Business,Business  ,,,,,,,8/1/2017
1,Solo Leisure,Economy  ,,,,,,,8/1/2017
3,Solo Leisure,Economy  ,,,,,,,8/1/2017
2,Solo Leisure,Premium Economy,,,,,,,7/1/2017
1,Couple Leisure,Economy  ,,,,,,,6/1/2017
