Overall Rating,Type Of Traveller,Seat Type,Arrival,A Country V,Departure,D Country V,Date Flown
1,Business,Economy  ,,,,,2/1/2020
8,Business,Economy  ,,,,,11/1/2019
1,Business,First  ,,,,,5/1/2020
1,Couple Leisure,Economy  ,,,,,3/1/2020
1,Solo Leisure,Premium Economy,,,,,4/1/2020
1,Solo Leisure,Economy  ,,,,,5/1/2020
1,Family Leisure,Premium Economy,,,,,3/1/2020
1,Couple Leisure,Economy  ,,,,,3/1/2020
10,Couple Leisure,Business  ,,,,,2/1/2020
8,Couple Leisure,Business  ,,,,,2/1/2020
1,Solo Leisure,Economy  ,,,,,3/1/2020
2,Business,Economy  ,,,,,4/1/2020
7,Solo Leisure,Economy  ,,,,,3/1/2020
1,Business,Economy  ,,,,,3/1/2020
1,Business,Economy  ,,,,,4/1/2020
3,Solo Leisure,Business  ,,,,,3/1/2020
1,Solo Leisure,Economy  ,,,,,3/1/2020
10,Couple Leisure,Premium Economy,,,,,3/1/2020
